lifting,"[""Weightlifting""]"
wrestling,"[""Wrestling""]"
squatting,"[""Weightlifting""]"
serving,"[""Tennis""]"
standing,"[""Table Tennis""]"
stroking,"[""Swimming""]"
sailing,"[""Sailing""]"
aiming,"[""Archery"",""Shooting""]"
riding,"[""Equestrian""]"
boxing,"[""Boxe""]"
hitting,"[""Tennis""]"
fencing,"[""Fencing""]"
bicycling,"[""Cycling""]"
swinging,"[""Golf""]"
putting,"[""Golf""]"
